<<<<<<< HEAD
Rejestracja,VIN,Marka,Model,Generacja,Rok_produkcji,Data_ostatniego_przeglądu
IUN TTMZH,1HGVV3PUG2YMAJ9CN8,Audi,A5,3,2010,2001-02-20 00:00:01
DBZ WH5UM,1HGXWI0MMYR6KW3PY4,Audi,A4,2,2011,2001-05-17 00:00:01
OMO JVCG5,1HGE4VAJNDJCPINZY7,Skoda,Fabia,1,2010,2001-05-07 00:00:01
VMD U6QVF,1HGKWME2P2ZXWUKS41,Audi,A4,3,2011,2001-03-10 00:00:01
PQ 86927,1HG67SC11S55LTZK07,Skoda,Octavia,2,2011,2001-04-14 00:00:01
GBH WZPVO,1HGLU3DWUMCU23DW37,BMW,M4,2,2012,2001-04-29 00:00:01
UCX CN2IS,1HGAKD2VR7RVANSTR1,BMW,X5,2,2010,2001-03-17 00:00:01
BN 5CPAQ,1HGWTQPSLSDU1C3AZ1,Skoda,Suberb,3,2010,2001-02-14 00:00:01
QN 7ACUG,1HGD9IVQC2RIT29XQ7,BMW,X6,3,2012,2001-03-27 00:00:01
TGI N05GK,1HGK5B9AID17CXYFA2,Skoda,Octavia,1,2012,2001-01-13 00:00:01
KP 9DJ3,1HGMEJYAF1YT9KJA19,Skoda,Octavia,1,2010,2001-03-11 00:00:01
DY H6HW,1HG7N94FHZ17AEVXL0,BMW,M3,3,2012,2001-01-25 00:00:01
USO 8BXCL,1HGTFO3OOLYPPB0BB1,Audi,A5,1,2010,2001-05-07 00:00:01
BGI TYUWS,1HG7LN17EMG9RHRQV0,Skoda,Fabia,2,2011,2001-01-28 00:00:01
SR CKI2,1HG63772RBGBA8F9C8,Audi,A5,1,2010,2001-03-22 00:00:01
MD GUO25,1HGF4EN4DRHVQI3G82,Audi,A5,3,2012,2001-04-21 00:00:01
CPD 7R713,1HG6CYO5HV6ITI5DC2,BMW,X6,1,2012,2001-05-09 00:00:01
DM TLKQ,1HG51MFC12PMC7ISP4,Skoda,Fabia,2,2011,2001-04-02 00:00:01
