ID,ID_przejazdu,Data,Godzina,Miejsce,Typ,Odchył_od_poprawnej_wartości
0,36,04/01/2001,04:31,98,Przekroczenie prędkości,40
1,91,30/11/2001,09:52,66,Parking w niedozwolonym miejscu,1
2,3,16/01/2001,06:56,57,Nieprzepisowa zmiana pasa ruchu,1
3,8,28/06/2001,05:01,40,Gwałtowne hamowanie,1
4,90,03/03/2001,03:15,91,Parking w niedozwolonym miejscu,1
5,67,25/01/2001,12:27,71,Niedostosowanie się do znaku nakazu/zakazu,1
6,71,20/01/2001,12:46,12,Jazda na zbyt wysokich obrotach,2500
7,85,09/11/2001,13:10,57,Przekroczenie prędkości,20
8,76,12/03/2001,19:02,50,Gwałtowne hamowanie,1
9,57,02/07/2001,16:55,51,Niedostosowanie się do znaku nakazu/zakazu,1
10,25,16/08/2001,21:49,10,Niedostosowanie się do znaku nakazu/zakazu,1
11,42,01/01/2001,09:03,34,Parking w niedozwolonym miejscu,1
12,78,24/06/2001,03:12,57,Nieprzepisowa zmiana pasa ruchu,1
13,64,24/05/2001,02:32,55,Gwałtowne hamowanie,1
14,84,09/11/2001,20:04,65,Nieprzepisowa zmiana pasa ruchu,1
15,71,13/04/2001,17:10,28,Przekroczenie prędkości,10
16,5,24/07/2001,13:02,52,Gwałtowne hamowanie,1
17,76,12/01/2001,05:01,25,Jazda na zbyt wysokich obrotach,3000
18,93,16/12/2001,22:48,67,Gwałtowne hamowanie,1
19,50,20/04/2001,21:27,48,Nieprzepisowa zmiana pasa ruchu,1
20,63,12/12/2001,21:29,1,Niedostosowanie się do znaku nakazu/zakazu,1
21,60,01/07/2001,16:05,66,Nieprzepisowa zmiana pasa ruchu,1
22,97,08/08/2001,03:35,9,Przekroczenie prędkości,40
23,93,02/07/2001,22:24,52,Jazda na zbyt wysokich obrotach,2000
24,90,29/07/2001,16:41,74,Gwałtowne hamowanie,1
25,10,16/05/2001,05:34,67,Jazda na zbyt wysokich obrotach,2000
26,60,27/08/2001,05:05,27,Jazda na zbyt wysokich obrotach,2500
27,48,03/09/2001,07:56,22,Nieprzepisowa zmiana pasa ruchu,1
28,67,26/10/2001,13:59,82,Przekroczenie prędkości,40
29,26,20/08/2001,00:06,76,Jazda na zbyt wysokich obrotach,2000
30,43,06/11/2001,00:25,20,Gwałtowne hamowanie,1
31,90,21/06/2001,06:28,7,Gwałtowne hamowanie,1
32,40,21/05/2001,03:17,59,Nieprzepisowa zmiana pasa ruchu,1
33,84,28/11/2001,12:25,27,Gwałtowne hamowanie,1
34,93,14/03/2001,08:31,72,Parking w niedozwolonym miejscu,1
35,11,20/11/2001,16:19,84,Niedostosowanie się do znaku nakazu/zakazu,1
36,2,08/03/2001,13:12,13,Niedostosowanie się do znaku nakazu/zakazu,1
37,57,07/07/2001,03:27,7,Nieprzepisowa zmiana pasa ruchu,1
38,86,11/12/2001,07:35,37,Niedostosowanie się do znaku nakazu/zakazu,1
39,95,19/11/2001,04:28,64,Niedostosowanie się do znaku nakazu/zakazu,1
40,68,15/12/2001,22:13,66,Jazda na zbyt wysokich obrotach,2000
41,5,02/06/2001,07:45,36,Jazda na zbyt wysokich obrotach,1500
42,88,22/11/2001,03:40,27,Parking w niedozwolonym miejscu,1
43,6,18/11/2001,18:12,56,Gwałtowne hamowanie,1
44,29,11/07/2001,07:43,74,Nieprzepisowa zmiana pasa ruchu,1
45,47,16/10/2001,09:14,80,Gwałtowne hamowanie,1
46,84,03/07/2001,22:22,27,Jazda na zbyt wysokich obrotach,1000
47,40,15/12/2001,14:53,52,Niedostosowanie się do znaku nakazu/zakazu,1
48,59,09/04/2001,18:49,33,Przekroczenie prędkości,20
49,28,27/01/2001,06:12,97,Nieprzepisowa zmiana pasa ruchu,1
50,48,27/06/2001,04:52,1,Nieprzepisowa zmiana pasa ruchu,1
51,21,02/11/2001,08:04,56,Gwałtowne hamowanie,1
52,73,24/09/2001,01:58,61,Parking w niedozwolonym miejscu,1
