Rejestracja,VIN,Marka,Model,Generacja,Rok_produkcji,Data_ostatniego_przegladu
ZD DK6K,1HGF88FQ8725Q4X047,BMW,X6,2,2010,2001-06-04
EB I051,1HGVY0E0L3I9JOGOA3,BMW,M3,1,2010,2001-03-11
GP C7NR,1HG79Y6RKDAYPAYLB8,BMW,M4,1,2011,2001-01-28
PZ 4ZYAZ,1HGMI4T52NF67V9O30,Audi,A5,1,2011,2001-03-01
AEN 067L,1HG9TIIGX1KE6YVAE9,Audi,A5,3,2012,2001-04-28
NU O5RJ,1HGW3LGY2LG7LV8IL6,Audi,A3,1,2011,2001-04-14
PST OL96,1HGD3GWREH7SWK7RW5,BMW,X6,1,2010,2001-05-09
QB A2TB,1HG6ON2BMH9MDOVHK6,Audi,A4,1,2010,2001-05-26
FML ON1O,1HGIORO2O4L1YPXUB5,BMW,M3,1,2012,2001-05-10
RL CTK5T,1HG68SQQ4JENXW4S83,Audi,A3,3,2011,2001-03-11
NWK H9E92,1HGD8BQBZLAH33HJ52,BMW,X5,1,2010,2001-05-09
IE Q8TD,1HGI2AN8OV6IFIPY17,BMW,X5,3,2011,2001-04-07
RWC 0IP5,1HG0LR34AVSB9YPRH2,Skoda,Suberb,2,2012,2001-06-04
ZX VD05,1HG6P9FTX1XLVOSPS4,Skoda,Suberb,1,2011,2001-02-21
AO I1D90,1HGPSOTCSRKK5IHA41,Skoda,Octavia,3,2011,2001-05-30
YAS EB1OI,1HGL3IWNAI69VCF2T6,Skoda,Fabia,1,2010,2001-05-05
AZ 31R6,1HGPR9OIA6G1HMDCH6,BMW,X6,2,2011,2001-05-06
FV TE8UR,1HGSCJ7HAMAGO6WES9,Audi,A4,2,2010,2001-01-17
DS 7Y3EZ,1HG0BF6BI0TEPPSNR1,BMW,X6,1,2010,2001-04-21
LZW QV96,1HGGKUK39T8G8O0EL4,Skoda,Suberb,1,2010,2001-06-06
CPT 2BAX2,1HGU7VPH3VD3KPNLI3,Audi,A5,3,2012,2001-06-03
